策略,协议及端口,源地址,优先级,备注
接受,TCP:80,106.55.206.146,中,wechat server
接受,TCP:80,106.55.206.211,中,wechat server
接受,TCP:80,106.55.207.148,中,wechat server
接受,TCP:80,106.55.207.31,中,wechat server
接受,TCP:80,118.126.124.186,中,wechat server
接受,TCP:80,118.126.124.246,中,wechat server
接受,TCP:80,119.29.180.49,中,wechat server
接受,TCP:80,119.29.9.101,中,wechat server
接受,TCP:80,124.223.151.119,中,wechat server
接受,TCP:80,129.226.105.242,中,wechat server
接受,TCP:80,162.62.80.57,中,wechat server
接受,TCP:80,162.62.80.8,中,wechat server
接受,TCP:80,162.62.81.123,中,wechat server
接受,TCP:80,175.24.211.142,中,wechat server
接受,TCP:80,175.24.211.157,中,wechat server
接受,TCP:80,175.24.211.198,中,wechat server
接受,TCP:80,175.24.211.31,中,wechat server
接受,TCP:80,175.24.211.4,中,wechat server
接受,TCP:80,175.24.212.10,中,wechat server
接受,TCP:80,175.24.212.185,中,wechat server
接受,TCP:80,175.24.212.195,中,wechat server
接受,TCP:80,175.24.213.149,中,wechat server
接受,TCP:80,175.24.214.150,中,wechat server
接受,TCP:80,175.24.214.222,中,wechat server
接受,TCP:80,175.27.64.215,中,wechat server
接受,TCP:80,175.27.65.216,中,wechat server
接受,TCP:80,42.192.0.152,中,wechat server
接受,TCP:80,42.192.0.224,中,wechat server
接受,TCP:80,42.192.6.57,中,wechat server
接受,TCP:80,43.132.112.30,中,wechat server
接受,TCP:80,43.132.141.238,中,wechat server
接受,TCP:80,43.137.147.169,中,wechat server
接受,TCP:80,43.143.52.12,中,wechat server
接受,TCP:80,43.143.59.119,中,wechat server
接受,TCP:80,81.69.101.193,中,wechat server
接受,TCP:80,81.69.101.225,中,wechat server
接受,TCP:80,81.69.101.233,中,wechat server
接受,TCP:80,81.69.101.237,中,wechat server
接受,TCP:80,81.69.103.129,中,wechat server
接受,TCP:80,81.69.103.147,中,wechat server
接受,TCP:80,81.69.103.163,中,wechat server
接受,TCP:80,81.69.103.205,中,wechat server
接受,TCP:80,81.69.103.236,中,wechat server
接受,TCP:80,81.69.103.238,中,wechat server
接受,TCP:80,81.69.103.37,中,wechat server
接受,TCP:80,81.69.103.74,中,wechat server
接受,TCP:80,81.71.140.59,中,wechat server
接受,TCP:80,81.71.19.101,中,wechat server
接受,TCP: 8000,0.0.0.0/0,高,通用规则
接受,TCP: 22,0.0.0.0/0,高,通用规则
接受,TCP: 3389,0.0.0.0/0,高,通用规则
接受,TCP: 443,0.0.0.0/0,高,通用规则
接受,ICMP,0.0.0.0/0,高,通用规则
